category,sub_category,app_name,package_id,source,priority,notes,installed
Shopping,General,Amazon Shopping,com.amazon.mShop.android.shopping,PlayStore,High,Top e-commerce; complex UI with search/filters/cart,false
Shopping,General,eBay,com.ebay.mobile,PlayStore,High,Auction + buy-now flows,false
Shopping,General,AliExpress,com.alibaba.aliexpresshd,PlayStore,Medium,International marketplace,false
Shopping,General,Wish,com.contextlogic.wish,PlayStore,Medium,Budget marketplace,false
Shopping,General,Mercari,com.kouzoh.mercari,PlayStore,Medium,C2C marketplace; listing flow,false
Shopping,Fashion,ZARA,com.inditex.zara,PlayStore,Medium,Fashion retail; visual-heavy UI,false
Shopping,Fashion,H&M,com.hm.goe,PlayStore,Medium,Fashion retail; catalog browsing,false
Shopping,Fashion,SHEIN,com.zzkko,PlayStore,Medium,Fast fashion; heavy scroll + filter,false
Shopping,Fashion,UNIQLO,com.uniqlo.kr.catalogue,PlayStore,Medium,Clean catalog UI,false
Shopping,Home,IKEA,com.ingka.ikea.app,PlayStore,Medium,Product search + AR features,false
Shopping,Grocery,Instacart,com.instacart.client,PlayStore,Medium,Grocery delivery; item search + cart,false
Shopping,Grocery,Walmart,com.walmart.android,PlayStore,Medium,General + grocery shopping,false
Productivity,Notes,Google Keep,com.google.android.keep,PlayStore,High,Note-taking; lists/reminders,false
Productivity,Notes,Notion,me.notion.notionso,PlayStore,High,Complex workspace; pages/databases,false
Productivity,Notes,Obsidian,md.obsidian,PlayStore,Medium,Markdown notes; file management,false
Productivity,Notes,Joplin,net.cozic.joplin,F-Droid,High,Open-source notes; sync features,true
Productivity,Notes,Markor,net.gsantner.markor,F-Droid,High,Markdown editor; file browser,true
Productivity,Office,Google Docs,com.google.android.apps.docs.editors.docs,PlayStore,High,Document editing,false
Productivity,Office,Google Sheets,com.google.android.apps.docs.editors.sheets,PlayStore,High,Spreadsheet editing,false
Productivity,Office,Google Slides,com.google.android.apps.docs.editors.slides,PlayStore,Medium,Presentation editing,false
Productivity,Office,Microsoft Word,com.microsoft.office.word,PlayStore,Medium,Document editing,false
Productivity,Office,WPS Office,cn.wps.moffice_eng,PlayStore,Medium,Multi-format office suite,false
Productivity,Storage,Google Drive,com.google.android.apps.docs,PlayStore,High,Cloud storage; file management,true
Productivity,Storage,Dropbox,com.dropbox.android,PlayStore,Medium,Cloud storage + sharing,false
Productivity,Tasks,TickTick,com.ticktick.task,PlayStore,Medium,Task manager + calendar,false
Productivity,Tasks,Tasks.org,org.tasks,F-Droid,Medium,Open-source task manager,true
Productivity,Tasks,Todoist,com.todoist,PlayStore,Medium,Popular task manager,false
Productivity,Calendar,Google Calendar,com.google.android.calendar,PlayStore,High,Calendar + event management,true
Productivity,Calendar,Simple Calendar,com.simplemobiletools.calendar.pro,F-Droid,High,Open-source calendar,true
Productivity,Email,Gmail,com.google.android.gm,PlayStore,High,Email client,true
Productivity,Email,K-9 Mail,com.fsck.k9,F-Droid,High,Open-source email client,true
Productivity,Email,Microsoft Outlook,com.microsoft.office.outlook,PlayStore,Medium,Email + calendar,false
Communication,Messaging,Signal,org.thoughtcrime.securesms,PlayStore,High,Encrypted messaging,false
Communication,Messaging,Telegram,org.telegram.messenger,PlayStore,High,Feature-rich messaging,false
Communication,Messaging,Discord,com.discord,PlayStore,High,Community + voice chat,false
Communication,Messaging,Slack,com.Slack,PlayStore,Medium,Workspace messaging,false
Communication,Messaging,WhatsApp,com.whatsapp,PlayStore,High,Popular messaging,false
Communication,Social,Reddit,com.reddit.frontpage,PlayStore,Medium,Forum-style social media,false
Communication,Social,Mastodon,org.joinmastodon.android,F-Droid,Medium,Decentralized social network,true
Communication,Phone,Contacts,com.google.android.contacts,PlayStore,Medium,Contact management,true
Communication,Phone,Simple Contacts,com.simplemobiletools.contacts.pro,F-Droid,Medium,Open-source contacts,true
Media,Video,YouTube,com.google.android.youtube,PlayStore,High,Video streaming; search/browse,true
Media,Video,VLC,org.videolan.vlc,F-Droid,High,Video player; file browser,true
Media,Video,NewPipe,org.schabi.newpipe,F-Droid,Medium,YouTube frontend; open-source,true
Media,Music,Spotify,com.spotify.music,PlayStore,High,Music streaming; playlists,false
Media,Music,YouTube Music,com.google.android.apps.youtube.music,PlayStore,Medium,Music streaming,true
Media,Music,Retro Music,code.name.monkey.retromusic,F-Droid,High,Local music player; rich UI,true
Media,Music,Metro,io.github.nicehash.metro,F-Droid,Medium,Music player,false
Media,Photo,Google Photos,com.google.android.apps.photos,PlayStore,High,Photo gallery + editing,true
Media,Photo,Simple Gallery,com.simplemobiletools.gallery.pro,F-Droid,High,Open-source gallery,true
Media,Photo,Snapseed,com.niksoftware.snapseed,PlayStore,Medium,Photo editing,false
Media,Reading,Google Play Books,com.google.android.apps.books,PlayStore,Medium,E-book reader,false
Media,Reading,Librera Reader,com.foobnix.pdf.reader,F-Droid,Medium,Document/book reader,false
Media,Reading,KOReader,org.koreader.launcher.fdroid,F-Droid,Medium,E-book reader,false
Media,Drawing,Sketchbook,com.adsk.sketchbook,PlayStore,Medium,Digital drawing/sketching,false
Media,Podcast,AntennaPod,de.danoeh.antennapod,F-Droid,Medium,Open-source podcast player,true
Navigation,Maps,Google Maps,com.google.android.apps.maps,PlayStore,High,Maps/navigation/search,true
Navigation,Maps,OsmAnd,net.osmand,F-Droid,High,Offline maps; open-source,true
Navigation,Maps,Organic Maps,app.organicmaps,F-Droid,Medium,Privacy-focused maps,true
Navigation,Transit,Citymapper,com.citymapper.app.release,PlayStore,Medium,Multi-modal transit,false
Navigation,Transit,Moovit,com.tranzmate,PlayStore,Medium,Public transit planner,false
Navigation,Transit,Transportr,de.grobox.stocktransportr,F-Droid,Medium,Open-source transit,false
Navigation,Rideshare,Uber,com.ubercab,PlayStore,Medium,Ride-hailing,false
Navigation,Rideshare,Lyft,me.lyft.android,PlayStore,Medium,Ride-hailing,false
Travel,Booking,Booking.com,com.booking,PlayStore,High,Hotel/accommodation booking,false
Travel,Booking,Airbnb,com.airbnb.android,PlayStore,Medium,Vacation rental booking,false
Travel,Booking,Agoda,com.agoda.mobile.consumer,PlayStore,Medium,Hotel booking,false
Travel,Flights,Skyscanner,net.skyscanner.android.main,PlayStore,Medium,Flight search/compare,false
Travel,Flights,Google Flights,com.google.android.apps.flights,PlayStore,Medium,Flight search,false
Travel,Planner,TripIt,com.tripit,PlayStore,Medium,Travel itinerary organizer,false
Travel,Planner,Trainline,com.thetrainline,PlayStore,Medium,Train ticket booking,false
Food,Recipes,Kitchen Stories,com.ajnsnewmedia.kitchenstories,PlayStore,Medium,Recipe browsing + cooking,false
Food,Recipes,Yummly,com.yummly.android,PlayStore,Medium,Recipe search + meal planning,false
Food,Recipes,Cookpad,com.mufumbo.android.recipe.search,PlayStore,Medium,Community recipes,false
Food,Delivery,DoorDash,com.dd.doordash,PlayStore,Medium,Food delivery,false
Food,Delivery,Uber Eats,com.ubercab.eats,PlayStore,Medium,Food delivery + restaurant browse,false
Food,Delivery,Grubhub,com.grubhub.android,PlayStore,Medium,Food ordering,false
Food,Grocery,Kroger,com.kroger.mobile,PlayStore,Medium,Grocery shopping + coupons,false
Health,Fitness,Google Fit,com.google.android.apps.fitness,PlayStore,Medium,Activity tracking,false
Health,Fitness,Strava,com.strava,PlayStore,Medium,Run/cycle tracking,false
Health,Fitness,Nike Training Club,com.nike.ntc,PlayStore,Medium,Workout programs,false
Health,Fitness,OpenTracks,de.dennisguse.opentracks,F-Droid,High,Open-source sport tracker,true
Health,Meditation,Insight Timer,com.spotlightsix.zentimerlite2,PlayStore,Medium,Meditation timer + guided,false
Health,Meditation,Medito,meditofoundation.medito,F-Droid,Medium,Open-source meditation,false
Health,Medical,MyFitnessPal,com.myfitnesspal.android,PlayStore,Medium,Calorie/nutrition tracking,false
Health,Medical,Clue,com.clue.android,PlayStore,Medium,Period tracking,false
Health,Plants,PlantNet,org.plantnet,PlayStore,Medium,Plant identification,false
Education,Language,Duolingo,com.duolingo,PlayStore,High,Language learning; gamified,false
Education,Language,Memrise,com.memrise.android.memrisecompanion,PlayStore,Medium,Vocabulary learning,false
Education,Language,Anki,com.ichi2.anki,F-Droid,High,Flashcard-based learning,true
Education,Academic,Khan Academy,org.khanacademy.android,PlayStore,Medium,Video lessons + exercises,false
Education,Academic,Coursera,org.coursera.android,PlayStore,Medium,Online courses,false
Education,Academic,Wikipedia,org.wikipedia,F-Droid,Medium,Encyclopedia browsing,true
Education,Reference,Dict.cc,cc.dict,PlayStore,Medium,Dictionary lookup,false
Education,Reference,Linguee,com.linguee.linguee,PlayStore,Medium,Translation context,false
Finance,Banking,PayPal,com.paypal.android.p2pmobile,PlayStore,Medium,Payment + transfer,false
Finance,Currency,XE Currency,com.xe.currency,PlayStore,Medium,Currency conversion,false
Finance,Investment,Yahoo Finance,com.yahoo.mobile.client.android.finance,PlayStore,Medium,Stock/market tracking,false
Finance,Expense,Wallet,com.droid4you.application.wallet,PlayStore,Medium,Expense tracking,false
Finance,Expense,GnuCash,org.gnucash.android,F-Droid,Medium,Open-source accounting,false
Finance,Crypto,CoinGecko,com.coingecko.coingeckoapp,PlayStore,Medium,Crypto price tracking,false
System,Settings,Settings,com.android.settings,System,High,System settings; deep menus,true
System,Files,Files by Google,com.google.android.apps.nbu.files,PlayStore,High,File manager,false
System,Files,Material Files,me.zhanghai.android.files,F-Droid,Medium,Open-source file manager,true
System,Clock,Clock,com.google.android.deskclock,PlayStore,High,Timer/alarm/stopwatch,true
System,Phone,Phone,com.google.android.dialer,System,Medium,Dialer,true
System,Camera,Open Camera,net.sourceforge.opencamera,F-Droid,Medium,Open-source camera,true
System,Calculator,Calculator,com.google.android.calculator,PlayStore,Medium,Basic calculator,false
System,Launcher,KISS Launcher,fr.neamar.kiss,F-Droid,Low,Minimal launcher,true
System,Browser,Firefox,org.mozilla.firefox,PlayStore,Medium,Web browser,true
System,Browser,Brave,com.brave.browser,PlayStore,Medium,Privacy browser,false
System,Keyboard,OpenBoard,org.dslul.openboard.inputmethod.latin,F-Droid,Low,Open-source keyboard,false
Weather,Forecast,AccuWeather,com.accuweather.android,PlayStore,Medium,Weather forecasting,false
Weather,Forecast,Geometric Weather,wangdaye.com.geometricweather,F-Droid,Medium,Open-source weather,false
Weather,Forecast,Weather Underground,com.wunderground.android.weather,PlayStore,Medium,Detailed weather data,false
News,Aggregator,Google News,com.google.android.apps.magazines,PlayStore,Medium,News aggregation,false
News,Aggregator,Feeder,com.nononsenseapps.feeder,F-Droid,Medium,RSS feed reader,true
News,Aggregator,Flipboard,flipboard.app,PlayStore,Medium,Magazine-style news,false
News,Publisher,BBC News,bbc.mobile.news.ww,PlayStore,Medium,International news,false
News,Publisher,Reuters,com.thomsonreuters.reuters,PlayStore,Medium,Business/world news,false
News,Publisher,AP News,mnn.Android,PlayStore,Medium,Breaking news,false
Entertainment,Games,Chess.com,com.chess,PlayStore,Low,Board game; interactive UI,false
Entertainment,Games,Lichess,org.lichess.mobileapp,F-Droid,Low,Open-source chess,false
Entertainment,Streaming,Twitch,tv.twitch.android.app,PlayStore,Low,Live streaming,false
Entertainment,Events,Eventbrite,com.eventbrite.attendee,PlayStore,Medium,Event discovery/tickets,false
Lifestyle,Home,Home Assistant,io.homeassistant.companion.android,F-Droid,Medium,Smart home control,false
Lifestyle,Real Estate,Zillow,com.zillow.android.zillowmap,PlayStore,Medium,Real estate search,false
Lifestyle,Real Estate,Redfin,com.redfin.android,PlayStore,Medium,Home buying,false
Lifestyle,Habit,Loop Habit Tracker,org.isoron.uhabits,F-Droid,Medium,Open-source habit tracking,true
